slug,h_inf_old,h_inf_resolved,h_inf_v2,alpha_v2,fit_r2,n_points,n_bytes
nebius-swe-agent-traj,0.0,-0.6527,0.0,0.2115,0.9984,7,8388608
swe-smith-traj-xml,0.5552212632048479,0.5471,0.5471,0.2836,1.0,7,8388608
agentinstruct-all,0.0,0.4907,0.4907,0.3638,0.9895,7,4939441
agentgym-agenttraj-l,0.0,0.0603,0.0603,0.3933,0.9846,7,4758682
swe-bench-verified,1.566764951212698,1.5439,1.5439,0.3302,1.0,6,3115539
mind2web-actions,1.6963279634071835,1.6737,1.6737,0.4114,0.9999,5,429581
swe-gym-tasks,1.2205698800555476,1.1209,1.1209,0.3616,0.999,7,8388608
swe-rebench-test,0.8414458692257585,1.3002,1.3002,0.3982,0.9983,7,8388608
code-act-codeact,0.0,0.5019,0.5019,0.2656,0.9956,7,7221425
swe-rebench-oh-traj,0.6730966898936961,0.3624,0.3624,0.2377,0.9975,7,8388608
swe-gym-oh-sft-traj,1.106923423087189,0.5963,0.5963,0.2665,0.9979,7,8388608
swe-zero-oh-traj,1.211842703308288,0.6457,0.6457,0.2406,0.9984,7,8388608
agenttrek,0.8489581539852947,-1.0,0.0,0.1925,0.987,7,8388608
nnetnav-wa,0.46273491507324327,-0.9008,0.0,0.1948,0.9916,7,8388608
swe-hero-oh-traj,0.8088993024650116,0.3698,0.3698,0.2389,0.9954,7,8388608
agentbank-all,0.14585014339942054,0.2937,0.2937,0.5741,0.9978,7,8388608
lumos-ground-iter,0.0,0.3326,0.3326,0.4745,0.982,6,2646105
nnetnav-live,1.3658198822367573,-0.1845,0.0,0.224,0.9905,7,8388608
swe-gym-oh-sampled-traj,1.1002071585940163,0.9799,0.9799,0.3121,0.9995,7,8388608
swe-gym-oh-verifier-traj,1.0722100535117742,0.4806,0.4806,0.25,0.9973,7,8388608
weblinx-actions,1.9484579586185309,1.8332,1.8332,0.4407,0.999,6,1599183
taubench-traces-jkazdan,0.0,-0.0756,0.0,0.2639,0.9995,5,372872
taubench-sonnet-proxy,1.0547509321836288,1.0548,1.0548,0.4551,,3,29444
rlenv-appworld-train,9.937885438753428,-1.0,0.0,0.2569,0.8651,4,221130
toolbench-toolllama-dfs,0.0,0.4079,0.4079,0.2818,0.9946,7,8388608
openhands-feedback,0.744701450735196,0.2653,0.2653,0.2707,0.9972,7,8388608
mind2web-fullobs,0.29730586347267707,0.3602,0.3602,0.4411,0.9899,7,8388608
weblinx-fullobs,0.0,0.4799,0.4799,0.3816,0.9903,7,8388608
nemotron-sft-v2-interactive,0.2579166380539606,0.8626,0.8626,0.1986,0.9995,7,8388608
nemotron-agentic-v1,15.165712089847984,-1.0,0.0,0.1927,0.9673,7,8388608
nemotron-rl-swe-pivot,0.5849435538606074,-1.0,0.0,0.1652,0.9772,7,8388608
nemotron-rl-conv-tool-pivot,0.0,-1.0,0.0,0.1414,0.9945,7,8388608
apigen-mt-5k,0.0,0.4212,0.4212,0.3129,0.9966,7,8388608
