idx,n_bytes,template_gain,loop_gain
0,53824,0.421,0.3348
1,35934,0.462,0.3685
2,43760,0.5062,0.2682
3,27572,0.4887,0.523
4,72895,0.4309,0.283
5,65222,0.4909,0.4462
6,77007,0.3391,0.303
7,45133,0.4421,0.1982
8,41173,0.4035,0.3431
9,42842,0.4486,0.451
10,48083,0.4163,0.3084
11,38271,0.4094,0.3404
12,40803,0.4165,0.4157
13,39702,0.4948,0.2508
14,65723,0.473,0.3814
15,54364,0.4286,0.3022
16,58152,0.4323,0.2869
17,73814,0.5036,0.3155
18,60335,0.372,0.2463
19,42231,0.396,0.2902
20,79031,0.3552,0.3332
21,47366,0.3683,0.3024
22,33271,0.4834,0.306
23,47370,0.3938,0.1957
24,34723,0.4958,0.4291
25,108647,0.3429,0.3527
26,41815,0.3624,0.1704
27,84111,0.2953,0.2302
28,88547,0.4111,0.3979
29,71413,0.3823,0.2878
30,70956,0.3573,0.462
31,48870,0.4587,0.1739
32,35328,0.5453,0.5165
33,67073,0.3735,0.2559
34,61376,0.3861,0.3215
35,36054,0.4503,0.2158
36,110597,0.3385,0.3334
37,39293,0.5517,0.4421
38,42293,0.4726,0.4057
39,51904,0.3741,0.3548
40,30074,0.492,0.2657
41,54445,0.4586,0.3971
42,59997,0.4691,0.3481
43,75579,0.3286,0.2912
44,51323,0.4181,0.2586
45,60129,0.4146,0.3765
46,49708,0.4661,0.3048
47,40825,0.4287,0.221
48,25633,0.5169,0.2866
49,32476,0.5248,0.2336
50,30984,0.4461,0.2258
51,39165,0.3619,0.1718
52,28177,0.5339,0.3098
53,42006,0.4336,0.3282
54,95671,0.2535,0.3189
55,41520,0.4243,0.246
56,33475,0.6015,0.304
57,96571,0.3117,0.3226
58,36862,0.5686,0.3156
59,52772,0.4129,0.3993
60,41434,0.4798,0.31
61,49458,0.3695,0.2328
62,99538,0.2966,0.3385
63,52133,0.4016,0.2741
64,49768,0.3924,0.4402
65,50164,0.532,0.401
66,56796,0.4459,0.3401
67,106780,0.2626,0.271
68,81130,0.4022,0.2951
69,32803,0.4538,0.2255
70,75384,0.437,0.3752
71,50922,0.4433,0.2522
72,61920,0.3738,0.2877
73,58824,0.3743,0.3756
74,97447,0.364,0.329
75,38190,0.4293,0.2971
76,84265,0.295,0.2442
77,64111,0.3469,0.2271
78,116581,0.2495,0.4128
79,100468,0.3258,0.3233
80,90791,0.3074,0.2776
81,69159,0.3389,0.3846
82,92130,0.3037,0.2484
83,85360,0.3633,0.2991
84,74464,0.3617,0.3034
85,66850,0.3447,0.4138
86,70556,0.3881,0.3736
87,31460,0.445,0.3377
88,42978,0.4424,0.2773
89,36785,0.4408,0.3821
90,44851,0.4277,0.2366
91,88357,0.4236,0.3165
92,32891,0.4401,0.2439
93,38136,0.4249,0.2713
94,62778,0.3501,0.3759
95,39020,0.5051,0.335
96,80506,0.3042,0.3737
97,46818,0.4507,0.2526
98,94090,0.352,0.3356
99,92011,0.3228,0.4419
100,60152,0.4839,0.3694
101,95861,0.318,0.3075
102,28932,0.4811,0.2261
103,53989,0.3955,0.232
104,110099,0.3116,0.3511
105,113249,0.2855,0.2949
106,52300,0.4123,0.2843
107,69908,0.4235,0.346
108,89489,0.3625,0.2633
109,36410,0.4817,0.2013
110,87673,0.3374,0.34
