slug,beta,n_bytes,opnorm_lag1,opnorm_lag2,opnorm_lag4,opnorm_lag8,opnorm_lag16,opnorm_lag32,opnorm_lag64,opnorm_lag128,opnorm_lag256,opnorm_lag512
toucan-15m-kimi-k2,0.1952,8388608,0.0379585,0.0275255,0.0218211,0.0179888,0.0153093,0.0172948,0.016476,0.0153388,0.0145183,0.0132843
swe-zero-12m-traj,0.2812,8388608,0.0258781,0.0197835,0.0153304,0.0115756,0.00881646,0.0090316,0.00851188,0.00639873,0.00559247,0.00499238
jetbrains-swe-test-minus-verified,0.5162,8388608,0.0740402,0.057697,0.0344091,0.0388747,0.00773388,0.00964762,0.0142242,0.0127821,0.0119344,0.00969914
weblinx-actions,0.262,1599183,0.02903,0.0244717,0.0237222,0.0175365,0.0149595,0.0167713,0.00799821,0.00513883,0.00143213,0.000475275
apigen-mt-5k,0.296,8388608,0.035625,0.0306469,0.0137506,0.0117888,0.00882122,0.0145325,0.0100102,0.00790495,0.00528675,0.00182505
agentnet-text,1.299,8388608,0.042232,0.0366045,0.0139458,0.00452067,0.00156144,0.000728288,0.000267345,0.000275058,0.000255722,0.000211488
glaive-fc-v2,0.2705,3410818,0.0398746,0.0336059,0.0357364,0.0183816,0.0095031,0.0185612,0.0160036,0.0137518,0.00810578,0.00333361
terminal-bench2-gpt5,0.4483,3630147,0.0464217,0.0404343,0.0267424,0.0161039,0.00666507,0.0119002,0.00916924,0.00871566,0.0074349,0.00541815
terminal-bench2-qwen3-32b,0.3251,8388608,0.0290781,0.0249706,0.0200396,0.0131726,0.00811843,0.00855007,0.00980119,0.00804546,0.00683925,0.0056802
taubench-deepseek-r1-eval,0.3433,8388608,0.034112,0.0269788,0.0117133,0.00895942,0.00788221,0.00878711,0.00891987,0.00784627,0.0069048,0.00533954
coderforge-32b-swebench-verified-eval,0.153,8388608,0.0968218,0.0863163,0.0715511,0.0744489,0.0547918,0.0519418,0.0551786,0.0506157,0.0487768,0.0451262
openhands-feedback,0.0053,8388608,0.0918158,0.0917193,0.0912391,0.0907067,0.0902766,0.0900992,0.0901225,0.0900432,0.0899728,0.0897298
mind2web-actions,0.7741,429581,0.0423333,0.0433849,0.0349201,0.0224677,0.0171366,0.00483321,0.00154919,0.000807079,0.000732828,0.000753618
smolagents-gaia-traces,0.493,8388608,0.0225988,0.0138271,0.00922349,0.00771814,0.00533887,0.00379809,0.00264378,0.00264568,0.00272706,0.00215643
openresearcher-deepresearch-sft,0.634,8388608,,,,,,,,,,
mem-agent-memory-sft,0.192,8388608,,,,,,,,,,
agent-flan-all,0.6175,5525114,0.0332276,0.0260232,0.0111919,0.00569291,0.00476864,0.00379288,0.00293539,0.00296626,0.0028419,0.0020484
agentbank-all,0.5299,8388608,0.0445282,0.0339022,0.0234648,0.014344,0.0109946,0.00888215,0.00454338,0.0021614,0.00120227,0.000774649
agentgym-agenttraj-l,0.5394,4758682,0.0481328,0.0357431,0.0168878,0.0122483,0.00861859,0.00666431,0.00563308,0.00436343,0.00398015,0.0024007
agentinstruct-all,0.6828,4939441,0.0360041,0.0289403,0.0112386,0.00568808,0.00374043,0.00408174,0.00231354,0.00273947,0.00256173,0.00218937
agentnet-actions,0.2268,1363319,0.035366,0.0353928,0.0292727,0.0278508,0.0234961,0.0174787,0.0140439,0.00739254,0.00338976,0.00292569
agenttrek,0.5281,8388608,0.0378271,0.0286774,0.016639,0.0109651,0.00769503,0.00565305,0.00473943,0.00475056,0.004341,0.00408571
aguvis-s2-androidctl-text,0.4094,6817808,0.0446013,0.0338938,0.0204733,0.0163171,0.00966155,0.0107903,0.00869091,0.00784237,0.00693851,0.00671276
aider-polyglot-qwen32b-ntc100k,0.3971,8388608,0.0490089,0.044944,0.0377677,0.0203091,0.0111621,0.0132588,0.012723,0.0113902,0.0109175,0.00894984
aider-polyglot-qwen32b-ntc1k,0.387,8388608,0.0601212,0.0548233,0.0461018,0.0253598,0.0138939,0.016776,0.0161554,0.0154129,0.0133949,0.0110304
aider-polyglot-qwen3coder30b,0.3739,8388608,0.0673324,0.0566307,0.0432134,0.0325656,0.0138147,0.0166818,0.0197979,0.0175356,0.0147969,0.0136895
aider-polyglot-r2egym32b,0.4574,8388608,0.0646066,0.0553973,0.0355398,0.0283587,0.0108636,0.00798932,0.018089,0.0155855,0.00984501,0.0109913
aider-polyglot-sweagentlm7b,0.4034,8388608,0.118174,0.104289,0.0780545,0.0473721,0.0352045,0.0202832,0.0337669,0.02967,0.0377468,0.0463087
android-control-text,0.5319,925951,0.0422026,0.0383443,0.035757,0.0235359,0.0163531,0.00853655,0.00477573,0.00130226,0.000568867,0.000436774
code-act-codeact,0.3564,7221425,0.026083,0.0191057,0.0149988,0.00826118,0.00657456,0.00644203,0.00706693,0.00488993,0.00398132,0.0025626
cua-agentnet-gimp-text,0.1267,842837,0.0287745,0.0217024,0.021376,0.0190811,0.0150242,0.0141192,0.0189908,0.0107557,0.00595402,0.00375699
dcagent-glm47-terminus2,0.4866,8388608,0.0417944,0.0334402,0.0265192,0.0134689,0.00586047,0.0075439,0.00800762,0.00724119,0.00586706,0.0050449
dcagent3-financeagent-a3rl,0.2669,8388608,0.0177324,0.0129168,0.010268,0.00848122,0.00705055,0.00650415,0.00564886,0.00491947,0.00422312,0.00300912
deep-research-sft-0406,0.837,8388608,0.0286478,0.0234147,0.00963246,0.00310514,0.00235831,0.00141175,0.00132509,0.000989481,0.00107344,0.000584917
fireact-multitask,0.7957,1399305,0.0355916,0.0297417,0.0111964,0.00723686,0.00600299,0.0024174,0.00135725,0.000468862,0.000570257,0.000424801
fractal-deepresearch-sft,0.7797,8388608,0.027757,0.0207947,0.00810688,0.00399568,0.00279367,0.00200515,0.0012141,0.000784486,0.000917275,0.000701425
gdpval-tasks,1.0608,502886,0.0355096,0.0308512,0.0113992,0.00296182,0.00129267,0.000999564,0.000754911,0.000521471,0.000836621,0.000584035
gui-odyssey-actions,0.3029,961827,0.06004,0.0496495,0.0397706,0.0396393,0.0279315,0.0335524,0.0123601,0.00374928,0.00467288,0.00183715
hermes-fc-multiturn,0.5076,8388608,0.0274593,0.0194939,0.0109847,0.00837038,0.00501911,0.00405514,0.00380618,0.00375953,0.00333022,0.0023839
ii-agent-gaia-traj,0.0846,3464877,0.0148584,0.0153626,0.0138511,0.012366,0.0111894,0.0113295,0.0113093,0.0107891,0.0102553,0.00977744
inferredbugs-tasks-clean,0.674,4622227,0.155996,0.145309,0.119331,0.0762425,0.0265054,0.00711456,0.0245813,0.0222451,0.0190876,0.0180748
inferredbugs-teacher-glm46,0.6564,8388608,0.0983433,0.0861527,0.0705776,0.0395408,0.0126573,0.00508057,0.0164752,0.0113153,0.010445,0.00739457
inferredbugs-teacher-glm46-131k,0.5428,6080017,0.0780728,0.0689642,0.0565129,0.0308472,0.00846666,0.0103116,0.0155805,0.0134799,0.0116587,0.01083
inferredbugs-teacher-glm47,0.6679,8388608,0.112241,0.102377,0.0843903,0.0520322,0.0173272,0.00519503,0.0184412,0.014418,0.0139571,0.0119584
inferredbugs-teacher-gpt5nano,0.5431,8388608,0.0779358,0.0699064,0.0573195,0.0387383,0.0154565,0.008293,0.0148864,0.0130188,0.0114459,0.00974052
