subset,beta,n_bytes,opnorm_lag1,opnorm_lag2,opnorm_lag4,opnorm_lag8,opnorm_lag16,opnorm_lag32,opnorm_lag64,opnorm_lag128,opnorm_lag256,opnorm_lag512
optical_engineering,0.9892,4501663,0.0359206,0.0298864,0.0101736,0.00213664,0.00148636,0.00121927,0.000956466,0.00111124,0.000922868,0.000817247
atmospheric_science,1.1916,3044413,0.0386537,0.0332683,0.00984111,0.00334891,0.000782756,0.000633972,0.00056537,0.000464758,0.000365354,0.000391872
hydraulic_engineering,1.1364,2956223,0.0383034,0.0332227,0.0119055,0.00392204,0.000947482,0.000763403,0.000706508,0.000592317,0.000473614,0.000487804
mathematics,1.2361,4308335,0.0386573,0.0311274,0.00995173,0.00264823,0.000782278,0.000550188,0.000447532,0.000438078,0.000403491,0.000339874
environmental_science,1.3157,4747176,0.0380083,0.0334314,0.0102186,0.00208685,0.000515403,0.00043068,0.000376313,0.000331699,0.000329122,0.000233278
artistic,1.3266,4129323,0.0407072,0.0349935,0.0102395,0.00202699,0.000514981,0.000390025,0.000414253,0.000340349,0.000300108,0.000444212
celebrity,1.3533,2813755,0.0397709,0.0360294,0.0110234,0.00205163,0.000519383,0.000430437,0.000332174,0.000309391,0.00032222,0.000264121
library,1.2434,4585646,0.038903,0.0339809,0.010959,0.00219636,0.000695352,0.000588707,0.000467718,0.000370468,0.000291436,0.000279481
philosophy,1.3442,6009309,0.042936,0.0375535,0.0111834,0.00237173,0.00045,0.00035133,0.000471871,0.000325656,0.000236259,0.000287189
game,1.3964,4419079,0.0423471,0.0374966,0.0123372,0.00317443,0.000461443,0.000390425,0.000316765,0.000309133,0.000267712,0.000212957
automotive,1.2028,3948330,0.0395347,0.0343994,0.0109017,0.00281945,0.000780735,0.00066741,0.000550239,0.0004434,0.000383612,0.000337221
design,1.3012,3470715,0.0392176,0.0341125,0.010518,0.00275775,0.000502499,0.000492277,0.000402752,0.000323557,0.000398799,0.000263483
aerospace,1.2921,4053906,0.0383013,0.0321423,0.0105736,0.00233662,0.00058732,0.000454324,0.00040234,0.000382629,0.000297114,0.000250866
news,1.438,4301599,0.0393853,0.0350186,0.0103716,0.00225555,0.000450293,0.000359057,0.000216455,0.0002548,0.000230658,0.000249389
landscape_architecture,1.3102,3453932,0.0392286,0.0346037,0.0102861,0.00260633,0.000544415,0.000476864,0.000378764,0.000350823,0.000273549,0.000308461
civil_engineering,1.2474,4216427,0.0365209,0.0316962,0.0105096,0.0023092,0.000703101,0.000550841,0.000419515,0.000329671,0.000277665,0.000274
sports,1.318,4183113,0.0419594,0.0368604,0.0112969,0.00285237,0.000582314,0.000457427,0.00041673,0.000349845,0.000294666,0.000300878
christianity,1.3919,6624794,0.0444821,0.0403517,0.0125984,0.00280561,0.000469141,0.000394707,0.000357701,0.000289439,0.000301471,0.000224648
law,1.2839,5778531,0.0396664,0.0349604,0.0116179,0.00224592,0.000664682,0.00051751,0.000421687,0.00037511,0.000277103,0.000236746
music_and_dance,1.2685,3238909,0.0385505,0.033384,0.00922031,0.00196591,0.000660702,0.000515059,0.000408721,0.000342664,0.000395344,0.000243044
urban_planning,1.3313,3890767,0.038233,0.0335268,0.0104553,0.0026256,0.000444813,0.000426025,0.00036557,0.000287854,0.000263676,0.000280035
entertainment,1.3048,3502611,0.0402008,0.0351271,0.0103215,0.002259,0.000559255,0.000476529,0.000402906,0.000313584,0.000271343,0.000310946
relationship,1.3604,5198233,0.0421083,0.0389193,0.0122891,0.00390553,0.000646599,0.000418716,0.000347307,0.000357061,0.000330061,0.000302381
petroleum_and_natural_gas_engineering,1.225,3971939,0.0369581,0.0316078,0.0130247,0.0028693,0.000826837,0.000594078,0.000473898,0.000421751,0.000370424,0.000290615
literature,1.2071,7627046,0.0404613,0.034777,0.0106078,0.00228341,0.000847515,0.000661781,0.000535019,0.000522073,0.000558148,0.000412054
fashion,1.2317,2325468,0.0389638,0.0340913,0.00990615,0.00274879,0.000656678,0.000614156,0.000485059,0.000346576,0.000351409,0.000289697
politics,1.4369,5833276,0.0398906,0.0357805,0.0111433,0.0023026,0.000507157,0.000306426,0.000245056,0.000258573,0.000276487,0.000257876
weapons_science,1.3081,2530391,0.0419583,0.0337408,0.0125284,0.00249189,0.000620825,0.000440342,0.000435198,0.000435475,0.000353628,0.000301126
mechanical_engineering,1.1503,5326946,0.0375435,0.0319917,0.0108381,0.00268273,0.000906092,0.000720381,0.000631144,0.00053781,0.000482817,0.000344277
