slug,hurst,n_bytes,rs_n64,rs_n128,rs_n256,rs_n512,rs_n1024,rs_n2048,rs_n4096,rs_n8192,rs_n16384,rs_n32768,rs_n65536
toucan-15m-kimi-k2,0.9022,8388608,11.4,18.56,30.24,48.65,80.23,145,298.9,641,1336,2854,5413
swe-zero-12m-traj,0.925,8388608,10.34,15.1,23.04,37.98,69.45,142.2,313.8,715.5,1504,2673,4096
jetbrains-swe-test-minus-verified,0.782,8388608,11.25,16.96,25.23,39.14,63.95,108.8,199.6,376.7,713,1270,2333
agentnet-text,0.6723,8388608,9.708,15.1,23.81,38.17,62.33,99.39,156.5,225.3,363.5,623,1119
apigen-mt-5k,0.7979,8388608,10.22,15.56,24.7,42.25,83.92,179.1,306.7,501.7,820.1,1286,2016
glaive-fc-v2,0.8997,3410818,11.51,18.33,29.18,50.78,100.4,201.5,421.9,878.5,1581,2627,4305
weblinx-actions,0.6707,1599183,18.63,28.29,47.17,77.92,122.6,198.7,327.5,528.8,788.4,1172,1848
aider-polyglot-r2egym32b,0.7693,8388608,10.86,16.61,26.32,43.21,74.8,139.9,259.9,477.4,816.1,1128,1755
ko-agent-traj-train,0.8325,8388608,10.05,15.87,24.38,38.79,67.19,145.7,338.3,627.9,972.9,1495,2245
agent-flan-all,0.7834,5525114,10.03,16.22,26.01,43.42,82.95,186.9,392.9,600.7,814.4,1143,1668
agentgym-agenttraj-l,0.719,4758682,10.22,16.85,30.07,50.42,89.08,157.2,261.8,372,570.5,892.8,1528
aider-polyglot-qwen3coder30b,0.8321,8388608,10.25,15.33,23.32,36.88,61.19,110.7,218.3,418.6,817.9,1570,2841
rebel-alfworld-actions,0.7106,122898,10.89,17.74,33.39,61.29,96.64,146.5,207,345.4,,,
swe-hero-oh-traj,0.9425,8388608,11.33,18.49,32.09,61.1,119.8,220.3,409.7,781.6,1640,3720,7558
miroverse-agentic-sft-new,0.8216,8388608,10.07,15.81,24.69,39.22,62.11,105.3,199.7,391.9,791.5,1504,2863
gui-odyssey-actions,0.5349,961827,13.2,20.39,33.26,57.87,87.14,122.6,167.8,223.1,302.9,411.8,564.5
fireact-multitask,0.5839,1399305,12.43,21.5,35.87,57.48,84.6,123.5,182.5,272.9,400.9,558.4,729.8
