slug,neardup
agent-flan-all,0.1784
agentbank-all,0.1491
agentgym-agenttraj-l,0.5772
agentinstruct-all,0.4207
agentnet-actions,0.0
agentnet-text,0.0078
agenttrek,0.2615
aguvis-s2-androidctl-text,0.9332
aider-polyglot-qwen32b-ntc100k,0.0713
aider-polyglot-qwen32b-ntc1k,0.0689
aider-polyglot-qwen3coder30b,0.2473
aider-polyglot-r2egym32b,0.4903
aider-polyglot-sweagentlm7b,0.0498
android-control-text,0.0025
apigen-mt-5k,0.0163
app1-agentic-safety-sft,0.2549
cli-agent-sessions-sampler,0.0256
code-act-codeact,0.1581
coderforge-32b-swebench-verified-eval,0.1516
cua-agentnet-gimp-text,0.1973
dcagent-glm47-terminus2,0.1269
dcagent3-financeagent-a3rl,0.2179
deep-research-sft-0406,0.3479
dtap-claude-opus-46,0.0
dtap-claude-sonnet-45,0.0
dtap-gemini-3-pro,0.0
factory-agent-task-rollouts,0.1849
fireact-multitask,0.0043
fractal-deepresearch-sft,0.0398
gaia127-r2egym-32b-eval,0.2806
gdpval-tasks,0.0139
glaive-fc-v2,0.0446
gpt55-agent-sessions,0.0528
gui-odyssey-actions,0.0
hermes-fc-multiturn,0.0649
ii-agent-gaia-traj,0.004
inferredbugs-tasks-clean,0.1143
inferredbugs-teacher-glm46-131k,0.1232
inferredbugs-teacher-glm46,0.1237
inferredbugs-teacher-glm47,0.0605
inferredbugs-teacher-gpt5nano,0.0585
inferredbugs-teacher-kimi25,0.0731
inferredbugs-teacher-minimax-m27,0.1933
inferredbugs-teacher-qwen35-122b,0.1161
jetbrains-swe-assistant-only,0.011
jetbrains-swe-test-minus-verified,0.109
jetbrains-swesmith-subset,0.1752
kimi-k26-agent-sessions,0.5973
kimi-k26-cc-sessions,0.0241
ko-agent-traj-train,0.2985
kwai-klear-mini-swe-66k,0.173
lumos-ground-iter,0.2964
mind2web-actions,0.0112
mind2web-fullobs,0.0046
minimax-m27-agent-sessions,0.03
minimax-m3-cc-sessions,0.0522
miroverse-agentic-sft-new,0.099
nebius-swe-agent-traj,0.3001
nemotron-agentic-v1,0.4352
nemotron-rl-conv-tool-pivot,0.2865
nemotron-rl-injection-v1,0.093
nemotron-rl-swe-pivot,0.0131
nemotron-sft-v2-interactive,0.0369
nemotron-sft-v2-search,0.0176
nemotron-sft-v2-tool,0.1287
nl2bash-teacher-glm46,0.2706
nl2bash-teacher-minimax-m27,0.1615
nl2bash-teacher-qwen3coder480b,0.2682
nnetnav-live,0.292
nnetnav-wa,0.41
opencua-text,0.0512
openhands-feedback,0.0021
openthoughts-agent-v1-sft,0.2706
opus48-pi-traces,0.0045
qwen35-9b-react-hotpot,0.1631
qwen37-max-pi-sessions,0.0096
r2e-gym-lite-tasks,0.093
r2e-gym-swe-agent-lm-traj,0.0297
rebel-alfworld-actions,0.0
rebel-alfworld-sft,0.0729
rlenv-appworld-train,0.8923
saital-browser-action-only,0.6838
saital-browser-reasoning-action,0.5299
scienceworld-expert-traj,0.2947
smolagents-gaia-traces,0.057
swe-bench-verified,0.017
swe-gym-oh-sampled-traj,0.481
swe-gym-oh-sft-traj,0.1126
swe-gym-oh-verifier-traj,0.1252
swe-gym-tasks,0.0016
swe-hero-oh-traj,0.1442
swe-rebench-oh-assistant-only,0.0267
swe-rebench-oh-traj,0.1148
swe-rebench-test,0.004
swe-smith-traj-xml,0.1134
swe-zero-12m-traj,0.3386
swe-zero-oh-traj,0.1485
taubench-traces-jkazdan,0.0158
terminal-bench2-qwen3-32b,0.054
tiger-browseragent-sft,0.4001
toolbench-toolllama-dfs,0.307
toucan-15m-kimi-k2,0.0031
toucan-15m-oss,0.1975
toucan-15m-qwen3,0.0209
toucan-15m-sft,0.0129
weblinx-actions,0.0058
weblinx-fullobs,0.0389
