slug,scaffold_frac
agent-flan-all,0.204
agentbank-all,0.1409
agentgym-agenttraj-l,0.7734
agentinstruct-all,0.5912
agentnet-actions,0.0898
agentnet-text,0.0157
agenttrek,0.3385
aguvis-s2-androidctl-text,0.9819
aider-polyglot-qwen32b-ntc100k,0.1278
aider-polyglot-qwen32b-ntc1k,0.0774
aider-polyglot-qwen3coder30b,0.1586
aider-polyglot-r2egym32b,0.5414
aider-polyglot-sweagentlm7b,0.0497
android-control-text,0.1849
apigen-mt-5k,0.0352
app1-agentic-safety-sft,0.337
cli-agent-sessions-sampler,0.0256
code-act-codeact,0.2735
coderforge-32b-swebench-verified-eval,0.3003
cua-agentnet-gimp-text,0.4934
dcagent-glm47-terminus2,0.2421
dcagent3-financeagent-a3rl,0.2096
deep-research-sft-0406,0.5762
dtap-claude-opus-46,0.0092
dtap-claude-sonnet-45,0.0098
dtap-gemini-3-pro,0.0055
factory-agent-task-rollouts,0.5211
fireact-multitask,0.0628
fractal-deepresearch-sft,0.0828
gaia127-r2egym-32b-eval,0.0688
gdpval-tasks,0.0466
glaive-fc-v2,0.1706
gpt55-agent-sessions,0.1427
gui-odyssey-actions,0.2004
hermes-fc-multiturn,0.1142
ii-agent-gaia-traj,0.1036
inferredbugs-tasks-clean,0.4747
inferredbugs-teacher-glm46-131k,0.1501
inferredbugs-teacher-glm46,0.1599
inferredbugs-teacher-glm47,0.1335
inferredbugs-teacher-gpt5nano,0.1622
inferredbugs-teacher-kimi25,0.1649
inferredbugs-teacher-minimax-m27,0.1916
inferredbugs-teacher-qwen35-122b,0.1171
jetbrains-swe-assistant-only,0.0461
jetbrains-swe-test-minus-verified,0.1637
jetbrains-swesmith-subset,0.2781
kimi-k26-agent-sessions,0.4546
kimi-k26-cc-sessions,0.021
ko-agent-traj-train,0.4131
kwai-klear-mini-swe-66k,0.2675
lumos-ground-iter,0.3666
mind2web-actions,0.036
mind2web-fullobs,0.0845
minimax-m27-agent-sessions,0.1084
minimax-m3-cc-sessions,0.0521
miroverse-agentic-sft-new,0.2233
nebius-swe-agent-traj,0.5899
nemotron-agentic-v1,0.5712
nemotron-rl-conv-tool-pivot,0.6666
nemotron-rl-injection-v1,0.118
nemotron-rl-swe-pivot,0.0366
nemotron-sft-v2-interactive,0.0873
nemotron-sft-v2-search,0.026
nemotron-sft-v2-tool,0.309
nl2bash-teacher-glm46,0.3659
nl2bash-teacher-minimax-m27,0.219
nl2bash-teacher-qwen3coder480b,0.3769
nnetnav-live,0.1835
nnetnav-wa,0.5445
opencua-text,0.5689
openhands-feedback,0.0204
openthoughts-agent-v1-sft,0.3659
opus48-pi-traces,0.0085
qwen35-9b-react-hotpot,0.2854
qwen37-max-pi-sessions,0.0203
r2e-gym-lite-tasks,0.0839
r2e-gym-swe-agent-lm-traj,0.0772
rebel-alfworld-actions,0.0484
rebel-alfworld-sft,0.1026
rlenv-appworld-train,0.9335
saital-browser-action-only,0.8715
saital-browser-reasoning-action,0.7401
scienceworld-expert-traj,0.5238
smolagents-gaia-traces,0.0856
swe-bench-verified,0.0732
swe-gym-oh-sampled-traj,0.4958
swe-gym-oh-sft-traj,0.1519
swe-gym-oh-verifier-traj,0.2084
swe-gym-tasks,0.018
swe-hero-oh-traj,0.2305
swe-rebench-oh-assistant-only,0.0919
swe-rebench-oh-traj,0.163
swe-rebench-test,0.0228
swe-smith-traj-xml,0.1695
swe-zero-12m-traj,0.5062
swe-zero-oh-traj,0.198
taubench-traces-jkazdan,0.0244
terminal-bench2-qwen3-32b,0.085
tiger-browseragent-sft,0.4358
toolbench-toolllama-dfs,0.2089
toucan-15m-kimi-k2,0.0088
toucan-15m-oss,0.1377
toucan-15m-qwen3,0.0283
toucan-15m-sft,0.0798
weblinx-actions,0.0956
weblinx-fullobs,0.042
