slug,structure_density
agent-flan-all,0.1087
agentbank-all,0.1155
agentgym-agenttraj-l,0.1106
agentinstruct-all,0.1712
agentnet-actions,0.3306
agentnet-text,0.0545
agenttrek,0.2362
aguvis-s2-androidctl-text,0.1354
aider-polyglot-qwen32b-ntc100k,0.2305
aider-polyglot-qwen32b-ntc1k,0.2235
aider-polyglot-qwen3coder30b,0.2157
aider-polyglot-r2egym32b,0.1639
aider-polyglot-sweagentlm7b,0.2696
android-control-text,0.1286
apigen-mt-5k,0.2509
app1-agentic-safety-sft,0.1755
cli-agent-sessions-sampler,0.281
code-act-codeact,0.1353
coderforge-32b-swebench-verified-eval,0.3327
cua-agentnet-gimp-text,0.281
dcagent-glm47-terminus2,0.2424
dcagent3-financeagent-a3rl,0.2611
deep-research-sft-0406,0.1955
dtap-claude-opus-46,0.2513
dtap-claude-sonnet-45,0.2516
dtap-gemini-3-pro,0.254
factory-agent-task-rollouts,0.5996
fireact-multitask,0.0692
fractal-deepresearch-sft,0.1194
gaia127-r2egym-32b-eval,0.8509
gdpval-tasks,0.0975
glaive-fc-v2,0.1806
gpt55-agent-sessions,0.1668
gui-odyssey-actions,0.5703
hermes-fc-multiturn,0.2187
ii-agent-gaia-traj,0.1254
inferredbugs-tasks-clean,0.1578
inferredbugs-teacher-glm46-131k,0.2003
inferredbugs-teacher-glm46,0.1655
inferredbugs-teacher-glm47,0.1699
inferredbugs-teacher-gpt5nano,0.1782
inferredbugs-teacher-kimi25,0.1752
inferredbugs-teacher-minimax-m27,0.1399
inferredbugs-teacher-qwen35-122b,0.1524
jetbrains-swe-assistant-only,0.1581
jetbrains-swe-test-minus-verified,0.2307
jetbrains-swesmith-subset,0.2
kimi-k26-agent-sessions,0.0747
kimi-k26-cc-sessions,0.2374
ko-agent-traj-train,0.3098
kwai-klear-mini-swe-66k,0.1581
lumos-ground-iter,0.0948
mind2web-actions,0.2399
mind2web-fullobs,0.3622
minimax-m27-agent-sessions,0.2928
minimax-m3-cc-sessions,0.2233
miroverse-agentic-sft-new,0.1368
nebius-swe-agent-traj,0.2256
nemotron-agentic-v1,0.1105
nemotron-rl-conv-tool-pivot,0.1231
nemotron-rl-injection-v1,0.3051
nemotron-rl-swe-pivot,0.1224
nemotron-sft-v2-interactive,0.1057
nemotron-sft-v2-search,0.176
nemotron-sft-v2-tool,0.1299
nl2bash-teacher-glm46,0.1743
nl2bash-teacher-minimax-m27,0.208
nl2bash-teacher-qwen3coder480b,0.171
nnetnav-live,0.1692
nnetnav-wa,0.2872
opencua-text,0.1962
openhands-feedback,0.3784
openthoughts-agent-v1-sft,0.1743
opus48-pi-traces,0.2685
qwen35-9b-react-hotpot,0.09
qwen37-max-pi-sessions,0.2778
r2e-gym-lite-tasks,0.2613
r2e-gym-swe-agent-lm-traj,0.2552
rebel-alfworld-actions,0.1898
rebel-alfworld-sft,0.2044
rlenv-appworld-train,0.1053
saital-browser-action-only,0.1983
saital-browser-reasoning-action,0.1967
scienceworld-expert-traj,0.1099
smolagents-gaia-traces,0.1207
swe-bench-verified,0.2272
swe-gym-oh-sampled-traj,0.1267
swe-gym-oh-sft-traj,0.2018
swe-gym-oh-verifier-traj,0.244
swe-gym-tasks,0.1964
swe-hero-oh-traj,0.2846
swe-rebench-oh-assistant-only,0.0871
swe-rebench-oh-traj,0.3223
swe-rebench-test,0.2173
swe-smith-traj-xml,0.1944
swe-zero-12m-traj,0.2168
swe-zero-oh-traj,0.1989
taubench-sonnet-proxy,0.3343
taubench-traces-jkazdan,0.3675
terminal-bench2-qwen3-32b,0.3058
tiger-browseragent-sft,0.2119
toolbench-toolllama-dfs,0.1557
toucan-15m-kimi-k2,0.1831
toucan-15m-oss,0.5439
toucan-15m-qwen3,0.1966
toucan-15m-sft,0.1039
weblinx-actions,0.4362
weblinx-fullobs,0.3561
